,group_id,title,target
0,1,ваз 21213   замена подшипников ступицы   нива,0
1,1,ваз 2107 оптом в сочи  сравнить цены  купить потребительские товары на tiu ru,0
2,1,купить ступица лада калина2  трансмиссия   переходные ступицы цена  замена  тюнинг ,0
3,1,классика 21010   21074,0
4,1,ступица нива   замена подшипника своими руками,0
5,1,ваз 2110,0
6,1,обзор подшипников полуоси ваз 2101 07  2121 2123,0
7,1,купить подшипники и ступицы fag  страница 23 ,0
8,1,horsepowers   автомобильный интернет портал   отзыв владельца ваз 2121 нива 2007 года,0
9,1,новости и сообщения из официальной группы вконтакте торговой компании 33 sport   магазины   тольятти,0
10,1,инструкция по замене подшипника передней ступицы ивеко дейли через dorognoekam ru,0
11,1,ступицы   olx ua   страница 80,0
12,1,маааленькая проблемка   бортжурнал автокам 2160   1994 года на drive2,0
13,1,разгруженные полуоси для нива  24 шлица 765 мм ,0
14,1,прошивки для нива м7 9 7 скачать   файлообменник emqraty6 foxkirov ru,0
15,1,страница 6  раздела  каталог   подвеска,0
16,1,продам ниву 2121,0
17,1,рекомендации по проведению независимой экспертизы  осаго ,0
18,1,втулки подшипников в омске  сравнить цены и поставщиков промышленных товаров на tiu ru,0
19,1,шевроле блейзер елабуга руководство по эксплуатации   инструкции и советы,0
20,1,привод  шрус  пыльник шруса    страница 3,0
21,1,автомобили маз в калининграде  интернет магазины и компании со стоимостью в каталоге  купить автомобили маз  цена на сайте propartner ,0
22,1,ваз 2103 в украине  сравнить цены  купить потребительские товары на prom ua  стр  86,0
23,1,купить подшипники  цена  до 1 000 руб  в кирове  магазины города  страница 5,0
24,1,купить запчасти на ваз в воронеже   доска объявлений камелот,0
25,1,опоры передних амортизаторов   какие выбрать    подвеска,0
26,1,подшипники лада  ваз в красноярске,0
27,1,автозапчасти   тендеры  торги  закупки   национальный тендерный портал tenderguru ru,0
28,1,замена и регулировка переднего ступичного подшипника нива   нива ремонт,1
29,1,разборка переднего тормозного механизма   ваз 21213  нива ,0
30,1,всё та же коробка передач    бортжурнал fiat albea алька 2008 года на drive2,0
31,1,продажа ваз нива 2121 2011 года в кургане  продам lada 4x4  нива  в отличном техническом состоянии  обмен на более дорогую  на равноценную  на более дешевую  4wd,0
32,1,ваз 2108,0
33,1,интернет магазин ооо автокомпас,0
34,1,как заменить подшипники ступиц передних колес ваз 2121,1
35,1,развал ступицы   яплакалъ,0
36,1,нужна помощь   подвеска,0
37,1,запчасти ваз  газ  заз  москвич  авто мото литература  газ  волга ,0
38,1,снятие и установка подшипников ступицы нива 2121  нива 2131,1
39,1,ваз 2104,0
40,1,подшипник olimac drago dr7080  6307 2rs  по цене 1 грн с доставкой по полтавской обл  на zakupka com ,0
41,1,как снять ступицы на ваз 2121 нива    youtube,1
42,1,замена подшипников ступицы  ваз 21213  21214  нива ,0
43,1,uaz patriot   брать или не брать  faq    форум клуба patriot 4x4,0
44,1,каталог запчастей от   интернет тв,0
45,1,опрос  помогите выбрать заз chance  vortex estina  б у kia spectra   страница 10   форум wroom ru,0
46,1,вал привода ваз 2121 нива в харькове  сравнить цены  купить потребительские товары на prom ua,0
47,1,лада нива 2121 1997 в новокузнецке  двигатель после кап  ремонта 6000км  4wd  коробка механическая  бензин,0
48,1,jf stoll джи эф штоль,0
49,1,сборка поворотного кулака со ступицей на ниву 2121 2123   автомобили и автомобильное хозяйство  автосервис    чертежи в масштабе ру,0
50,1,техношина   подшипники в новокузнецке,0
51,1,автозапчасти ваз    олми сервис ,0
52,1,ступицы купить в винницкой области в интернет магазине  низкие цены  большой каталог  быстрая доставка  ступицы   фото  отзывы,0
53,1,купить лада 4x4 2121 нива 2010 в новом уренгое  полная шумоизоляция  электро котел  подножки усиленные  прицепное устройство  бензин  бордовый  пробег 76000 км,0
54,1,av autotechnik,0
55,1,снятие задних ступичных подшипников,0
56,1,все изображения  ступица ваз 2106 в сборе    picsbase ru,0
57,1,блог   автомобильный клуб   кулибинск клуб,0
58,1,купить подшипник ступицы газель next передней   цена  3 061 35 р    арт  а21r23 3103145   интернет магазин  новосибирск ,0
59,1,как смазать ступичные подшипники на ниве шевроле видео   avtoservis sobol,0
60,1,средства для ухода за автомобилем купить со скидкой в костроме,0
61,1,купить подшипник   180314  6314 2rs  ct в полтаве по цене 201 34 грн на zakupka com ,0
62,1,двигатель,0
63,1,как поменять подшипник ступицы нива шевроле видео,1
64,1,подшипник маховика газ 3110  3302 дв 406  дв cummins  с мет крышкой   6203  кпк   газ детали машин пятигорск  каталог автозапчастей газ  ваз  уаз  lada деталь ,0
65,1,нива подшипник ступицы  21213103020 купить в нижнем новгороде,0
66,1,подшипники для автомобилей и спецтехники vbf купить в украине в интернет магазине  низкие цены  большой каталог  быстрая доставка  подшипники для автомобилей и спецтехники vbf   фото  отзывы,0
67,1,       ниваклуб   новосибирск          просмотр темы   подготовка машины к зиме ,0
68,1,нива 2121 в тольятти  сравнить цены  купить потребительские товары на tiu ru  стр  13,0
